simx,simy
680,0.9529078
681,0.95274746
682,0.95265365
683,0.9524299
684,0.95203626
685,0.9512795
686,0.9500695
687,0.9486375
688,0.94725966
689,0.94584125
690,0.94458693
691,0.9431671
692,0.94183314
693,0.9404984
694,0.9391317
695,0.9378389
696,0.93641186
697,0.9348938
698,0.9334055
699,0.9319908
700,0.9307454
701,0.9293709
702,0.927764
703,0.9263132
704,0.9249794
705,0.9239175
706,0.92289567
707,0.9216881
708,0.9204265
709,0.91937405
710,0.9186785
711,0.9181713
712,0.917734
713,0.9174864
714,0.91732806
715,0.9171181
716,0.91697526
717,0.91694933
718,0.9168289
719,0.9168813
720,0.9170556
721,0.917102
722,0.91719335
723,0.9171837
724,0.9171414
725,0.91707814
726,0.9169887
727,0.91690636
728,0.91692764
729,0.91737443
730,0.91809523
731,0.9189992
732,0.9200386
733,0.9211288
734,0.922312
735,0.9234658
736,0.924593
737,0.9257021
738,0.9269671
739,0.928046
740,0.9288257
741,0.92948705
742,0.92969114
743,0.9296575
744,0.9294854
745,0.9294003
746,0.9292773
747,0.92924726
748,0.92927194
749,0.92952824
750,0.9299645
751,0.93031853
752,0.9306673
753,0.93111116
754,0.9313348
755,0.9314058
756,0.9314102
757,0.93144715
758,0.9314964
759,0.93171245
760,0.93169945
761,0.93126416
762,0.9307172
763,0.93004435
764,0.92930484
765,0.928432
766,0.92743266
767,0.92667794
768,0.9264432
769,0.9267733
770,0.9272381
771,0.9279151
772,0.9286655
773,0.92975146
774,0.93087506
775,0.93200785
776,0.9331034
777,0.93437463
778,0.93572944
779,0.9370369
780,0.93845797
781,0.9399199
782,0.9414478
783,0.9433984
784,0.94555205
785,0.9474633
786,0.9491735
787,0.9506257
788,0.9517608
789,0.9528391
790,0.95374966
791,0.9546611
792,0.9553472
793,0.9559617
794,0.9564471
795,0.9569028
796,0.9573502
797,0.95751095
798,0.9569665
799,0.95609933
800,0.95528597
801,0.95446694
802,0.95362055
803,0.95225614
804,0.9505647
805,0.9483039
806,0.94636077
807,0.9445709
808,0.94230187
809,0.9403666
810,0.9388887
811,0.9374509
812,0.93631846
813,0.93546283
814,0.9344742
815,0.9331706
816,0.9323221
817,0.93160325
818,0.93130326
819,0.93152076
820,0.9323226
821,0.93359596
822,0.9353711
823,0.93751895
824,0.9400041
825,0.9427097
826,0.94545764
827,0.9487383
828,0.95218354
829,0.9557913
830,0.95936716
831,0.9635909
832,0.9678257
833,0.9718955
834,0.9760954
835,0.9802104
836,0.98380536
837,0.98771113
838,0.991611
839,0.9952501
840,0.99881774
841,1.0018286
842,1.0044327
843,1.0071899
844,1.0092925
845,1.0111927
846,1.0126852
847,1.0139227
848,1.0150517
849,1.0155998
850,1.015663
851,1.0154014
852,1.0148848
853,1.0140933
854,1.0133541
855,1.0124707
856,1.0115784
857,1.0106981
858,1.0098174
859,1.0086247
860,1.0070333
861,1.0050744
862,1.0028075
863,1.0001839
864,0.9970275
865,0.9936726
866,0.9898477
867,0.9857394
868,0.98161995
869,0.97655874
870,0.9715493
871,0.9662719
872,0.9602698
873,0.9550418
874,0.94956887
875,0.9448143
876,0.94028145
877,0.93654895
878,0.93375885
879,0.93203795
880,0.9314901
881,0.9320892
882,0.933904
883,0.9368924
884,0.94045466
885,0.9454224
886,0.950789
887,0.95687044
888,0.96308154
889,0.9696754
890,0.97697043
891,0.98384166
892,0.9903645
893,0.9970721
894,1.002878
895,1.0085331
896,1.0130233
897,1.0167145
898,1.0190294
899,1.0202091
900,1.0201807
901,1.0191745
902,1.0173467
903,1.014865
904,1.0117514
905,1.0079097
906,1.0032995
907,0.99792624
908,0.99197525
909,0.98562574
910,0.9792274
911,0.97239727
912,0.9653207
913,0.9583402
914,0.95189023
915,0.9449985
916,0.9383447
917,0.9315738
918,0.92497015
919,0.9186711
920,0.91331124
921,0.90815204
922,0.9036018
923,0.8995771
924,0.89636236
925,0.8934975
926,0.8910825
927,0.8896517
928,0.8888645
929,0.88852054
930,0.8885133
931,0.88862306
932,0.8897415
933,0.89188206
934,0.89419484
935,0.8970613
936,0.8996337
937,0.90303606
938,0.90673345
939,0.91066825
940,0.914726
941,0.91979563
942,0.9244193
943,0.929656
944,0.9348891
945,0.9401678
946,0.94534904
947,0.949895
948,0.9546078
949,0.95972854
950,0.9642603
951,0.9686852
952,0.9727089
953,0.9768029
954,0.9803342
955,0.98337233
956,0.9861781
957,0.9884608
958,0.9900399
959,0.991268
960,0.992144
961,0.99288225
962,0.993349
963,0.9933798
964,0.9933007
965,0.9933306
966,0.99325705
967,0.99277204
968,0.99197775
969,0.9907221
970,0.98901033
971,0.9872413
972,0.98515886
973,0.9827371
974,0.9803434
975,0.97773516
976,0.9751401
977,0.97257096
978,0.9700343
979,0.9676119
980,0.96524763
981,0.9625359
982,0.9601603
983,0.9578679
984,0.9557108
985,0.9536825
986,0.95215905
987,0.9509919
988,0.94998926
989,0.94922304
990,0.9485399
991,0.947874
992,0.94723517
993,0.94665307
994,0.94621825
995,0.94587684
996,0.9456852
997,0.94544727
998,0.9452019
999,0.94491506
1000,0.9445569
1001,0.9441035
1002,0.94378567
1003,0.94342023
1004,0.9429621
1005,0.94289756
1006,0.94293815
1007,0.9430161
1008,0.943161
1009,0.94321144
1010,0.94325733
1011,0.9432898
1012,0.9435515
1013,0.94421524
1014,0.94511414
1015,0.946286
1016,0.94750035
1017,0.9485888
1018,0.9496459
1019,0.95085454
1020,0.9521913
1021,0.9537272
1022,0.95505
1023,0.9564234
1024,0.9579446
1025,0.95934594
1026,0.96066505
1027,0.9617926
1028,0.9628138
1029,0.9640994
1030,0.9654205
1031,0.96666944
1032,0.96782595
1033,0.9689255
1034,0.9698954
1035,0.97086066
1036,0.97165763
1037,0.97229844
1038,0.9728726
1039,0.9734469
1040,0.9739766
1041,0.9743505
1042,0.9746216
1043,0.9748012
1044,0.974806
1045,0.97471017
1046,0.97457075
1047,0.9745849
1048,0.97480667
1049,0.97508675
1050,0.9753397
1051,0.97547853
1052,0.97552985
1053,0.97558117
1054,0.975751
1055,0.97562975
1056,0.97518647
1057,0.9744793
1058,0.9736673
1059,0.9725957
1060,0.9715398
1061,0.9704706
1062,0.9696693
1063,0.96888846
1064,0.96806055
1065,0.9670146
1066,0.96576273
1067,0.96437764
1068,0.96304715
1069,0.96160454
1070,0.9604259
1071,0.9591224
1072,0.9578995
1073,0.95671207
1074,0.9558108
1075,0.95500815
1076,0.954529
1077,0.9542983
1078,0.9541764
1079,0.9542476
1080,0.95438725
1081,0.95464396
1082,0.9549855
1083,0.95525485
1084,0.9553656
1085,0.95533115
1086,0.95536536
1087,0.95551544
1088,0.955647
1089,0.95571476
1090,0.9557014
1091,0.9555653
1092,0.9554507
1093,0.9554218
1094,0.9556076
1095,0.9559493
1096,0.956611
1097,0.9573888
1098,0.9582121
1099,0.959179
1100,0.9601572
1101,0.96116865
1102,0.96232516
1103,0.9635034
1104,0.9645478
1105,0.9657404
1106,0.9667869
1107,0.967853
1108,0.9690637
1109,0.97020656
1110,0.9713249
1111,0.9722869
1112,0.9733333
1113,0.97413486
1114,0.97483635
1115,0.97560483
1116,0.97618616
1117,0.97670376
1118,0.97722536
1119,0.9776529
1120,0.9779871
1121,0.9783571
1122,0.9786566
1123,0.9788639
1124,0.97894245
1125,0.9790098
1126,0.9791164
1127,0.97915435
1128,0.978966
1129,0.97828925
1130,0.9772579
1131,0.97602695
1132,0.97465426
1133,0.97304684
1134,0.9712485
1135,0.96911
1136,0.9668215
1137,0.9647603
1138,0.96300685
1139,0.9611996
1140,0.9596199
1141,0.9583797
1142,0.9570784
1143,0.9558286
1144,0.95455533
1145,0.95365465
1146,0.9529616
1147,0.9524436
1148,0.9517728
1149,0.95089763
1150,0.95024467
1151,0.9497462
1152,0.94937533
1153,0.949082
1154,0.94892085
1155,0.94889474
1156,0.9489414
1157,0.9491513
1158,0.9493155
1159,0.949555
1160,0.9496993
1161,0.95010287
1162,0.9504486
1163,0.9507271
1164,0.95084226
1165,0.9508875
1166,0.95094424
1167,0.9511025
1168,0.95132995
1169,0.95179534
1170,0.95260394
1171,0.9537413
1172,0.95469666
1173,0.95567083
1174,0.9567968
1175,0.95770067
1176,0.95862526
1177,0.95971256
1178,0.96068895
1179,0.96164197
1180,0.9625055
1181,0.9632591
1182,0.96407455
1183,0.96500176
1184,0.96598035
1185,0.96688074
1186,0.96766233
1187,0.96834755
1188,0.9689537
1189,0.96976537
1190,0.97080475
1191,0.97198546
1192,0.9729346
1193,0.97374535
1194,0.97442615
1195,0.97489995
1196,0.9753564
1197,0.9757986
1198,0.97629887
1199,0.9769441
1200,0.9775927
1201,0.9782516
1202,0.97887474
1203,0.9793099
1204,0.9796909
1205,0.9799232
1206,0.9801421
1207,0.98026896
1208,0.9802812
1209,0.98018134
1210,0.9800627
1211,0.9796327
1212,0.9790867
1213,0.9783718
1214,0.97753924
1215,0.9765767
1216,0.97571963
1217,0.9747609
1218,0.97365415
1219,0.9725816
1220,0.9713358
1221,0.9700583
1222,0.9686914
1223,0.9675766
1224,0.96656156
1225,0.96551687
1226,0.9642784
1227,0.96308804
1228,0.9618548
1229,0.9608044
1230,0.9598516
1231,0.9592853
1232,0.9586863
1233,0.9580236
1234,0.9575589
1235,0.9571705
1236,0.95715773
1237,0.95745325
1238,0.95808995
1239,0.9591716
1240,0.9608888
1241,0.9632683
1242,0.96608764
1243,0.9691513
1244,0.972649
1245,0.97642636
1246,0.9802423
1247,0.9844619
1248,0.9887443
1249,0.99271786
1250,0.9968784
1251,1.0010166
1252,1.0051355
1253,1.0086282
1254,1.0120578
1255,1.0149764
1256,1.0177963
1257,1.0201055
1258,1.0216503
1259,1.0230412
1260,1.0239319
1261,1.0239769
1262,1.0233774
1263,1.0222011
1264,1.0204934
1265,1.0184103
1266,1.0157429
1267,1.0128347
1268,1.0093678
1269,1.0048226
1270,0.9997439
1271,0.99425066
1272,0.9884354
1273,0.9823988
1274,0.97621596
1275,0.9696895
1276,0.96289873
1277,0.95626503
1278,0.95007235
1279,0.9433491
1280,0.93741614
1281,0.93126065
1282,0.9256662
1283,0.9206061
1284,0.91594696
1285,0.91174597
1286,0.9083285
1287,0.9054865
1288,0.9030747
1289,0.9013563
1290,0.9001861
1291,0.89959186
1292,0.8999282
1293,0.90056825
1294,0.9016838
1295,0.9039735
1296,0.90939486
1297,0.9216026
1298,0.9412303
1299,0.97995883
1300,1.0366002
1301,1.1114584
1302,1.2236732
1303,1.3517932
1304,1.5078946
1305,1.6961374
1306,1.9038625
1307,2.1198933
1308,2.3678691
1309,2.6327307
1310,2.9038298
1311,3.1948736
1312,3.5064294
1313,3.8021152
1314,4.0883865
1315,4.3678403
1316,4.663576
1317,4.94021
1318,5.21433
1319,5.4711637
1320,5.7265525
1321,5.9772506
1322,6.203003
1323,6.419951
1324,6.6262336
1325,6.819453
1326,6.980194
1327,7.149381
1328,7.2922344
1329,7.4275703
1330,7.5379434
1331,7.6387854
1332,7.736079
1333,7.812007
1334,7.8804846
1335,7.937664
1336,7.9843965
1337,8.024851
1338,8.056041
1339,8.082468
1340,8.1022835
1341,8.118342
1342,8.131013
1343,8.141551
1344,8.151147
1345,8.1592455
1346,8.16761
1347,8.1776905
1348,8.187889
1349,8.201684
1350,8.217463
1351,8.235141
1352,8.254695
1353,8.278258
1354,8.306539
1355,8.336693
1356,8.371737
1357,8.406198
1358,8.442979
1359,8.4883585
1360,8.531717
1361,8.57874
1362,8.630819
1363,8.682117
1364,8.737314
1365,8.79185
1366,8.850736
1367,8.907272
1368,8.965766
1369,9.024381
1370,9.0830765
1371,9.138158
1372,9.197799
1373,9.256436
1374,9.310319
1375,9.362731
1376,9.414883
1377,9.463141
1378,9.508395
1379,9.548576
1380,9.58767
1381,9.624111
1382,9.657788
1383,9.685546
1384,9.71362
1385,9.735633
1386,9.754024
1387,9.77054
1388,9.785205
1389,9.795944
1390,9.804977
1391,9.812122
1392,9.816673
1393,9.819817
1394,9.821711
1395,9.822673
1396,9.822937
1397,9.822725
1398,9.822286
1399,9.82183
1400,9.821165
1401,9.820482
1402,9.820584
1403,9.821619
1404,9.8234005
1405,9.825873
1406,9.828871
1407,9.832918
1408,9.83756
1409,9.842712
1410,9.849844
1411,9.857972
1412,9.8667755
1413,9.876609
1414,9.887253
1415,9.8982935
1416,9.911235
1417,9.92476
1418,9.9376955
1419,9.951792
1420,9.966725
1421,9.9803505
1422,9.995701
1423,10.011041
1424,10.025464
1425,10.040075
1426,10.053829
1427,10.067051
1428,10.080549
1429,10.09378
1430,10.105494
1431,10.117032
1432,10.127251
1433,10.137668
1434,10.147226
1435,10.155586
1436,10.163362
1437,10.170629
1438,10.176682
1439,10.182567
1440,10.187115
1441,10.191287
1442,10.194573
1443,10.197649
1444,10.199878
1445,10.201884
1446,10.20332
1447,10.20446
1448,10.205133
1449,10.205337
1450,10.2051935
1451,10.204945
1452,10.204755
1453,10.204679
1454,10.20462
1455,10.204664
1456,10.20484
1457,10.20519
1458,10.205653
1459,10.206343
1460,10.207056
1461,10.207761
1462,10.208248
1463,10.208511
1464,10.208667
1465,10.208822
1466,10.208939
1467,10.209053
1468,10.209311
1469,10.209749
1470,10.2100315
1471,10.210473
1472,10.210999
1473,10.211751
1474,10.212931
1475,10.214501
1476,10.216093
1477,10.217782
1478,10.219425
1479,10.220957
1480,10.2229395
1481,10.224948
1482,10.227118
1483,10.229579
1484,10.231903
1485,10.234
1486,10.235934
1487,10.237914
1488,10.239929
1489,10.241836
1490,10.2435465
1491,10.245301
1492,10.247036
1493,10.248608
1494,10.250013
1495,10.251483
1496,10.253002
1497,10.254262
1498,10.255475
1499,10.25662
1500,10.257698
1501,10.258329
1502,10.258666
1503,10.258911
1504,10.259145
1505,10.259567
1506,10.260097
1507,10.260621
1508,10.2613
1509,10.26213
1510,10.262944
1511,10.263652
1512,10.264303
1513,10.265052
1514,10.265596
1515,10.265964
1516,10.266318
1517,10.266568
1518,10.266747
1519,10.266948
1520,10.267022
1521,10.267059
1522,10.267155
1523,10.267211
1524,10.267244
1525,10.267262
1526,10.2672
1527,10.267316
1528,10.267588
1529,10.267742
1530,10.267914
1531,10.268083
1532,10.268193
1533,10.268416
1534,10.268732
1535,10.2687645
1536,10.26872
1537,10.268611
1538,10.268664
1539,10.268667
1540,10.2684765
1541,10.268201
1542,10.268042
1543,10.267972
1544,10.267782
1545,10.26731
1546,10.266643
1547,10.266014
1548,10.26522
1549,10.264576
1550,10.2639475
1551,10.263315
1552,10.262714
1553,10.262194
1554,10.261891
1555,10.261774
1556,10.262032
1557,10.262203
1558,10.262225
1559,10.262307
1560,10.262399
1561,10.26228
1562,10.2621975
1563,10.262015
1564,10.261944
1565,10.261898
1566,10.261947
1567,10.262014
1568,10.262392
1569,10.263308
1570,10.264646
1571,10.266262
1572,10.267899
1573,10.269451
1574,10.270877
1575,10.272434
1576,10.274021
1577,10.27547
1578,10.276667
1579,10.277546
1580,10.278367
1581,10.279128
1582,10.279808
1583,10.280422
1584,10.280856
1585,10.281232
1586,10.281529
1587,10.281725
1588,10.281722
1589,10.281488
1590,10.281216
1591,10.280924
1592,10.280648
1593,10.2806015
1594,10.280969
1595,10.281683
1596,10.282516
1597,10.28336
1598,10.284348
1599,10.285174
1600,10.28597
1601,10.286677
1602,10.287187
1603,10.287652
1604,10.288092
1605,10.28864
1606,10.289125
1607,10.289493
1608,10.289742
1609,10.289896
1610,10.29006
1611,10.29015
1612,10.290092
1613,10.289946
1614,10.289855
1615,10.289715
1616,10.289507
1617,10.289028
1618,10.288347
1619,10.287477
1620,10.286523
1621,10.285562
1622,10.284471
1623,10.283493
1624,10.282538
1625,10.281519
1626,10.280352
1627,10.279172
1628,10.277943
1629,10.276872
1630,10.276038
1631,10.2754135
1632,10.275089
1633,10.2749405
1634,10.274845
1635,10.274819
1636,10.274743
1637,10.274607
1638,10.27449
1639,10.274342
1640,10.274156
1641,10.274104
1642,10.274141
1643,10.274351
1644,10.274679
1645,10.2749605
1646,10.275232
1647,10.275522
1648,10.275802
1649,10.276151
1650,10.276456
1651,10.276717
1652,10.276802
1653,10.276895
1654,10.276961
1655,10.277248
1656,10.277872
1657,10.278774
1658,10.279959
1659,10.281145
1660,10.282312
1661,10.283422
1662,10.28437
1663,10.285434
1664,10.286468
1665,10.287355
1666,10.288346
1667,10.289216
1668,10.28983
1669,10.290333
1670,10.290663
1671,10.290842
1672,10.290989
1673,10.2910385
1674,10.29114
1675,10.291168
1676,10.291224
1677,10.291345
1678,10.2916355
1679,10.292003
1680,10.292493
1681,10.292931
1682,10.293012
1683,10.292711
1684,10.292135
1685,10.291389
1686,10.290668
1687,10.289987
1688,10.28928
1689,10.288649
1690,10.287765
1691,10.28689
1692,10.285997
1693,10.284932
1694,10.283919
1695,10.282784
1696,10.281669
1697,10.280713
1698,10.279897
1699,10.279345
1700,10.278847
1701,10.278314
1702,10.277743
1703,10.277202
1704,10.2768545
1705,10.27655
1706,10.276312
1707,10.276229
1708,10.276305
1709,10.27645
1710,10.276667
1711,10.276913
1712,10.27703
1713,10.277178
1714,10.277229
1715,10.277187
1716,10.277014
