x,y
925,-223.6754
926,-223.16093
927,-222.64973
928,-222.11133
929,-221.58226
930,-221.05196
931,-220.55214
932,-220.03651
933,-219.46942
934,-218.96344
935,-218.41002
936,-217.92818
937,-217.38559
938,-216.84457
939,-216.33638
940,-215.83536
941,-215.27887
942,-214.79079
943,-214.25902
944,-213.74411
945,-213.2311
946,-212.71454
947,-212.23958
948,-211.74576
949,-211.20859
950,-210.72697
951,-210.2223
952,-209.73361
953,-209.20233
954,-208.7016
955,-208.23097
956,-207.7169
957,-207.20364
958,-206.73454
959,-206.25085
960,-205.72249
961,-205.24756
962,-204.72345
963,-204.24765
964,-203.74742
965,-203.26169
966,-202.74612
967,-202.22969
968,-201.75684
969,-201.25443
970,-200.7362
971,-200.26154
972,-199.75696
973,-199.23639
974,-198.74472
975,-198.2225
976,-197.72969
977,-197.22124
978,-196.71245
979,-196.21808
980,-195.72314
981,-195.1779
982,-194.69711
983,-194.18578
984,-193.67453
985,-193.16324
986,-192.67453
987,-192.14827
988,-191.62907
989,-191.10234
990,-190.63553
991,-190.09319
992,-189.58147
993,-189.10007
994,-188.55878
995,-188.06276
996,-187.56169
997,-187.0551
998,-186.54375
999,-186.05397
1000,-186.05397
