timestamp,ref_timestamp,ref_lat,ref_lon,x,y,z,delta_xy[0],delta_xy[1],delta_z,vx,vy,vz,z_deriv,delta_vxy[0],delta_vxy[1],delta_vz,ax,ay,az,yaw,ref_alt,dist_bottom,dist_bottom_rate,eph,epv,evh,evv,vxy_max,vz_max,hagl_min,hagl_max,xy_valid,z_valid,v_xy_valid,v_z_valid,xy_reset_counter,z_reset_counter,vxy_reset_counter,vz_reset_counter,xy_global,z_global,dist_bottom_valid
38347217,21644006,32.387425,-117.076276,-0.041550465,-0.10980218,-8.724233,-0.0010998534,-0.0068369247,0,-0.014780767,-0.008912597,0.07785009,-0.045036253,-0.022203542,-0.023427267,-0.3981666,-0.3639852,0.5866711,-0.297308,0.42452225,13.434407,0.11129093,-0.07785009,0.3011212,0.3116458,0.15380047,0.10560823,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
38452016,21644006,32.387425,-117.076276,-0.042665645,-0.11181927,-8.722716,-0.0010998534,-0.0068369247,0,-0.011230387,-0.007872153,0.08431872,-0.03358632,-0.022203542,-0.023427267,-0.3981666,-0.58121455,0.44969457,-0.43620917,0.42466098,13.434407,0.10977459,-0.08431872,0.29000452,0.3105961,0.14932331,0.10502684,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
38548076,21644006,32.387425,-117.076276,-0.043837953,-0.11412247,-8.720461,-0.0010998534,-0.0068369247,0,-0.016159268,-0.007791589,0.0859088,-0.026930766,-0.022203542,-0.023427267,-0.3981666,-1.3326946,0.027332341,-0.08783799,0.42541122,13.434407,0.10751915,-0.0859088,0.30090213,0.31069633,0.15370962,0.10534225,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
38652069,21644006,32.387425,-117.076276,-0.04488946,-0.11605708,-8.716822,-0.0010998534,-0.0068369247,0,-0.012437822,0.00056875806,-0.009911231,-0.11517987,-0.022203542,-0.023427267,-0.3981666,-1.0746137,-0.31257045,-4.6714373,0.43230823,13.434407,0.10387993,0.009911231,0.2897683,0.30962476,0.1492992,0.104755044,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
38756841,21644006,32.387425,-117.076276,-0.046206072,-0.115967214,-8.734225,-0.0010998534,-0.0068369247,0,-0.037568606,0.03559008,-0.33805963,-0.43231958,-0.022203542,-0.023427267,-0.3981666,0.69797003,6.744162,-13.803783,0.42431292,13.434407,0.12128353,0.33805963,0.3015068,0.31030574,0.15450695,0.10522741,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
38852828,21644006,32.387425,-117.076276,-0.051334705,-0.112093635,-8.763502,-0.0010998534,-0.0068369247,0,-0.068730615,0.056929424,-0.55256265,-0.6251659,-0.022203542,-0.023427267,-0.3981666,-2.5140176,2.259063,-3.754361,0.41778246,13.434407,0.15056038,0.55256265,0.28952998,0.31244907,0.15129527,0.10527257,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
38957624,21644006,32.387425,-117.076276,-0.06036088,-0.10555243,-8.81064,-0.0010998534,-0.0068369247,0,-0.12053288,0.07771425,-0.6662135,-0.7142403,-0.022203542,-0.023427267,-0.3981666,2.0410843,1.9448135,6.584279,0.4119202,13.434407,0.1976986,0.6662135,0.30139387,0.31314883,0.15746094,0.105754904,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
39061688,21644006,32.387425,-117.076276,-0.07560718,-0.09789453,-8.862603,-0.0010998534,-0.0068369247,0,-0.16088209,0.0525446,-0.6728304,-0.6978461,-0.022203542,-0.023427267,-0.3981666,3.3711162,-9.88421,6.095306,0.403868,13.434407,0.24966145,0.6728304,0.2900672,0.3121289,0.15364149,0.105209,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
39166432,21644006,32.387425,-117.076276,-0.09514357,-0.08997384,-8.920625,-0.0010998534,-0.0068369247,0,-0.17437384,0.05616125,-0.69330496,-0.70321333,-0.022203542,-0.023427267,-0.3981666,6.6038995,-9.634978,0.6679873,0.39454404,13.434407,0.307683,0.69330496,0.30203554,0.31285465,0.15830569,0.10572551,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
39262451,21644006,32.387425,-117.076276,-0.11370648,-0.0836615,-8.978618,-0.0010998534,-0.0068369247,0,-0.18952152,0.0457437,-0.6908004,-0.6927428,-0.022203542,-0.023427267,-0.3981666,-3.4155862,-10.0671,-2.7895558,0.3868151,13.434407,0.36567593,0.6908004,0.29000863,0.31122634,0.1533634,0.10507743,inf,inf,inf,inf,1,1,1,1,2,0,2,2,1,1,0
